name,slug,denominations,denomination_type,rate
"JD Sports ",jd-sports,"[10,250]",VARIABLE,6
HelloFresh,hellofresh,[61],FIXED,6.5
Ole & Steen,Ole-Steen,"[10,15,20,25,30,40,50,60,70,80,90,100]",FIXED,4
The Hunting Inn,the-hunting-inn,"[25,500]",VARIABLE,10.5
Unicef - Charity on Top,unicef,"[10,500]",VARIABLE,7.5
Simply Chocolate,simply-chocolate,"[15,500]",VARIABLE,10.5
EXAPUNKS,exapunks,[19.99],FIXED,20
Shutterfly,shutterfly,"[15,100]",VARIABLE,9.5
Raffles Hotels & Resorts,raffles-hotels-resorts,"[25,50,100]",FIXED,4.5
Grotto Ristorante,grotto-ristorante,"[25,500]",VARIABLE,10.5
The Oceanaire Seafood Room,the-oceanaire-seafood-room,"[25,500]",VARIABLE,10.5
Subway,subway,"[10,250]",VARIABLE,5
Aloft,aloft,"[100,250,350,500,850]",FIXED,9
Aloft,aloft,"[25,2000]",VARIABLE,4.5
Lululemon,lululemon,"[250,300]",FIXED,4.5
Lululemon,lululemon,[500],FIXED,4
City Market,city-market,"[10,500]",VARIABLE,2.75
Brooklyn Pizza Company,brooklyn-pizza-company,"[10,250]",VARIABLE,12
GoTo Foods,goto-foods,"[10,200]",VARIABLE,8.5
Gambit,gambit,"[10,25,50,100]",FIXED,10
Disney's Hollywood Studios,disney-hollywood-studio,"[50,100]",FIXED,5
Disney's Hollywood Studios,disney-hollywood-studio,"[15,500]",VARIABLE,4
Bloomingdale's,bloomingdales,"[10,250]",VARIABLE,6
Viking Rise,viking-rise,[10],FIXED,3.5
Joe's Crab Shack,joes-crab-shack,"[25,500]",VARIABLE,10.5
Xbox Game Pass Ultimate,xbox-game-pass-ultimate,"[19.99,59.99]",FIXED,12
AllModern,allmodern,[100],FIXED,8
AllModern,allmodern,"[10,500]",VARIABLE,6
Famous Footwear,famous-footwear,[250],FIXED,10
Famous Footwear,famous-footwear,"[10,250]",VARIABLE,7
Golden Nugget Hotel & Casino,golden-nugget-hotel-casino,"[25,500]",VARIABLE,10.5
HomeGoods,homegoods,"[10,500]",VARIABLE,5.5
KFC,KFC,"[10,100]",VARIABLE,4
For the love of Travel,for-the-love-of-travel,"[20,1900]",VARIABLE,7
Gerbes,gerbes,"[10,500]",VARIABLE,2.75
Miguel's Restaurants,miguels-restaurants,"[15,250]",VARIABLE,10.5
American Cancer Society - Charity on Top,american-cancer-society,"[10,500]",VARIABLE,7.5
Rainforest Cafe,rainforest-cafe,"[25,500]",VARIABLE,10.5
Happy Card/One4all Favorites - Happy B-Day Swap,happy-card-one4all-favorites-happy-bday-swap,"[25,500]",VARIABLE,4
CDC Foundation - Charity on Top,cdc-foundation,"[10,500]",VARIABLE,7.5
Quince,quince,"[25,50]",FIXED,10
Sunglass Hut,sunglass-hut,"[10,200]",VARIABLE,9.5
Aulani Disney Resort Spa,aulani-disney-resort-spa,"[50,100]",FIXED,5
